annotation,DET,GES,NSI,EP,ESmu
n01.Hdc,2255,1638,309,693,2645
n02.Gm8773-Tac1,2640,2134,282,642,3178
n03,2021,1455,290,635,2404
n04.Sst-Nts,3169,2486,274,571,3772
n05.Nfix-Htr2c,2241,1401,164,388,2591
n06.Oxt,1467,1501,218,532,2127
n07,2408,955,574,844,2604
n08,2810,1098,454,533,2935
n09.Th-Slc6a3,2063,816,463,698,2227
n10.Ghrh,3313,2232,837,1061,3673
n11.Th-Cxcl12,2992,1620,556,992,3331
n12.Agrp-Sst,3747,3000,682,1081,4333
n13.Agrp-Gm8773,3943,4688,968,1374,5351
n14.Pomc-Ttr,3431,1731,524,708,3728
n15.Pomc-Anxa2,3508,3198,526,789,4161
n16.Rgs16-Vip,1774,934,1101,1537,2280
n17.Rgs16-Dlx1,1645,554,301,428,1781
n18.Rgs16-Slc17a6,1858,564,529,673,2068
n19.Gpr50,1691,938,350,725,1934
n20.Kiss1-Tac2,3062,1722,810,1169,3471
n21.Pomc-Glipr1,3699,1949,509,760,3995
n22.Tmem215,3182,1203,639,897,3517
n23.Sst-Unc13c,2872,1421,655,974,3144
n24.Sst-Pthlh,3363,2048,579,961,3611
n25.Th-Lef1,2290,846,418,607,2477
n26.Htr3b,3936,2230,569,883,4211
n27,2469,1050,592,991,2791
n28.Qrfp,1544,902,340,678,1756
n29.Nr5a1-Adcyap1,3510,3044,1318,1874,4038
n30.Nr5a1-Nfib,2183,817,629,838,2370
n31.Fam19a2,2736,1380,428,724,2981
n32.Slc17a6-Trhr,3824,2206,507,821,4050
n33.unassigned(1),2030,650,537,729,2258
n34.unassigned(2),2510,1276,894,1305,3100
s01.Ependymocy1,3369,3900,394,1627,4249
s02.Ependymocy2,3524,3321,1624,2463,3875
s03.Oligodendro1,1449,1387,549,1034,1701
s04.Oligodendro2,1383,1665,389,946,1840
s05.Oligodendro3,1695,1477,967,1261,1888
s06.Oligodendro4,1736,1547,1586,1570,2084
s07.Oligodendro5,1616,1528,383,890,1914
s08.Pars_Tuber1A,3379,4332,254,1072,4748
s09.Pars_Tuber1B,1230,948,442,1066,1445
s10.Pars_Tuber1C,3305,3614,644,1994,4018
s11.Endothelial,2631,2316,1486,2112,2876
s12.Mural_Cells1,1739,1483,547,1249,1915
s13.Mural_Cells2,1944,1825,842,2002,2347
s14.PVMs,1388,1094,670,1271,1526
s15.Microglia,2009,1711,1588,2110,2358
s16.Fibroblasts1,1550,1495,524,1424,1778
s17.Fibroblasts2,1355,1182,676,1245,1558
s18.Fibroblasts3,1641,1378,1137,1714,2006
s19.Parstuber2A,2153,1687,929,1784,2483
s20.Parstuber2B,571,516,408,692,858
s27.Oligodendro6,2236,1605,888,1346,2475
s28.NG2_OPC1,1466,938,468,943,1588
s29.NG2_OPC2,2380,1577,1451,1871,2790
s30.b2_tanycytes1,2896,2063,1447,1823,3317
s31.b2_tanycytes2,3136,2321,1523,2100,3526
s32.Astrocytes,1606,1462,741,1483,1976
s33.a1_tanycytes2,1594,1188,591,1355,1869
s34.a1_tanycytes1,2381,2006,1319,1918,2714
s35.b1_tanycytes,2693,2628,1986,2373,3640
s36.a2_tanycytes,2315,2005,1802,2212,3129
